Title,Body,Labels,Depends On (titles),Milestone
[E0.1] Initialize Python tray app repo (Poetry + src layout),"### Acceptance Criteria
- Poetry project created for Python 3.11 with locked dependencies.
- Top-level packages: app (tray, hotkey, audio, transcriber, cleanup, history).
- README outlines quick start, hotkey, and troubleshooting steps.
- MIT license present.","epic, infra, python",,v1
"[E0.2] Code quality & tooling (Ruff, Mypy, Pre-commit)","### Acceptance Criteria
- Ruff lint rules configured; `poetry run ruff check` passes.
- Mypy (or pyright) type checks pass for core modules (allow missing imports for C-ext).
- Pre-commit hooks run ruff + formatting on commit.","infra, quality, good-first-issue",[E0.1] Initialize Python tray app repo (Poetry + src layout),v1
[E0.3] Windows CI (GitHub Actions): test + PyInstaller artifact,"### Acceptance Criteria
- CI runs on `windows-latest`, installs Poetry and dependencies.
- Unit tests and linting pass.
- PyInstaller build completes; artifact uploaded on push to main and tags.","infra, ci, release",[E0.1] Initialize Python tray app repo (Poetry + src layout),v1
[E0.4] Versioning & release workflow,"### Acceptance Criteria
- Semantic version in pyproject; changelog started.
- Tag push (v*) creates a GitHub Release with zip artifact from CI.","release, process",[E0.3] Windows CI (GitHub Actions): test + PyInstaller artifact,v1
[E1.1] System tray icon & context menu (pystray),"### Acceptance Criteria
- Tray icon appears with app name and starts minimized.
- Context menu: Toggle Recording, Settings, History, Start with Windows, Quit.
- First‑run notification explains hotkey and Shift‑to‑bypass cleanup.","ui, tray, python",[E0.1] Initialize Python tray app repo (Poetry + src layout),v1
[E1.2] Global hotkey (reliable) with paste‑window timer,"### Acceptance Criteria
- Default chord `Ctrl+Shift+;` works system‑wide when app unfocused.
- Press/hold starts recording; release stops; second press within X seconds pastes (configurable 0–5s).
- Graceful error if chord is already taken; user can change in Settings.","input, hotkey, ux",[E1.1] System tray icon & context menu (pystray),v1
[E1.3] Icon state engine (Idle/Listening/Transcribing/Copied/Pasted/Error),"### Acceptance Criteria
- State machine updates tray icon within <50 ms.
- Icon assets exist at 16/20/24/32/40/48/64 px; light/dark aware.
- Transcribing shows spinner animation or frame cycling.","ui, icons, polish",[E1.1] System tray icon & context menu (pystray),v1
[E1.4] Settings JSON + minimal UI hook,"### Acceptance Criteria
- Settings stored in %APPDATA%/<App>/config.json; schema documented.
- Editable: hotkey, paste window, auto‑paste, cleanup mode, start with Windows.
- Changes apply without restart where possible.","settings, infra",[E1.1] System tray icon & context menu (pystray),v1
[E1.5] Start with Windows (winreg),"### Acceptance Criteria
- Toggle adds/removes Run key under HKCU\...\Run.
- State displayed in menu; survives reboot.","windows, startup",[E1.1] System tray icon & context menu (pystray),v1
[E2.1] WASAPI capture @16 kHz mono (sounddevice),"### Acceptance Criteria
- Hold hotkey starts capture; release stops.
- Audio format: float32 or int16 pipeline; latency from release→buffer flush ≤80 ms.
- Device change or missing mic shows a clear error toast.","audio, performance",[E1.2] Global hotkey (reliable) with paste‑window timer,v1
[E2.2] WebRTC VAD gate (auto‑stop on trailing silence),"### Acceptance Criteria
- Trailing silence 600–900 ms auto‑stops in toggle mode.
- Background noise floor adaptation to reduce dead air.
- Idle CPU <1% when not recording.","audio, algorithm",[E2.1] WASAPI capture @16 kHz mono (sounddevice),v1
[E2.3] Temp WAV writer + PCM16 buffer utility,"### Acceptance Criteria
- Audio can be saved to temp WAV and to raw PCM16 bytes for local inference.
- Temp files are deleted after transcription unless debug mode is on.","audio, infra",[E2.1] WASAPI capture @16 kHz mono (sounddevice),v1
